SKU,Quantity On Hand,Next Availability Date,Discontinued,Location Available,Location
K2984-A837,20.0,,N,74.0,KFHQ
K2984-F2322,0.0,04/29/2022,N,17.0,KFHQ
K5506-F1210,0.0,04/29/2022,N,10.0,KFHQ
K5506-F1211,20.0,,N,90.0,KFHQ
K5506-F2176,36.0,,N,122.0,KFHQ
K6908-F1540,0.0,,N,,KFHQ
K6908-F2044,0.0,04/29/2022,N,6.0,KFHQ
K6908-F2231,20.0,,N,95.0,KFHQ
K6908-F2237,0.0,04/29/2022,N,35.0,KFHQ
K6908-F2244,0.0,04/29/2022,N,4.0,KFHQ
K6908-F2262,69.0,,N,233.0,KFHQ
K6908-F2264,20.0,,N,69.0,KFHQ
K6908-F2269,32.0,,N,109.0,KFHQ
K6908-F2270,31.0,,N,104.0,KFHQ
K6908-F2302,0.0,04/29/2022,N,22.0,KFHQ
K6908-F2326,0.0,04/29/2022,N,22.0,KFHQ
K6908-F2327,0.0,04/29/2022,N,14.0,KFHQ
K6908-YDQY-2,0.0,04/29/2022,N,23.0,KFHQ
K7307-F2178,20.0,,N,94.0,KFHQ
K7609-B298,20.0,,N,63.0,KFHQ
K7609-B300,20.0,,N,77.0,KFHQ
K6780-B210,0.0,,N,,KFHQ
K6805-A727,32.0,,N,109.0,KFHQ
K6805-A750,0.0,,N,,KFHQ
K6805-A751,36.0,,N,122.0,KFHQ
K6805-A755,0.0,,N,,KFHQ
K6805-A793,0.0,,N,,KFHQ
K6805-A794,35.0,,N,119.0,KFHQ
K6805-A823,10.0,,N,56.0,KFHQ
K7609-F2360,20.0,,N,66.0,KFHQ
K7609-F2371,31.0,,N,105.0,KFHQ
K7683-F2105,33.0,,N,113.0,KFHQ
K7683-F2176,81.0,,N,271.0,KFHQ
K6858.24-F2246,20.0,,N,100.0,KFHQ
K7683-F2178,10.0,,N,49.0,KFHQ
K7683-F2182,33.0,,N,110.0,KFHQ
K7683-F2183,20.0,,N,85.0,KFHQ
K7746-A870,0.0,04/29/2022,N,11.0,KFHQ
K6805-A824,0.0,04/29/2022,N,29.0,KFHQ
K6805-A832,20.0,,N,63.0,KFHQ
K6805-A848,0.0,,N,,KFHQ
K6805-A858,10.0,,N,53.0,KFHQ
K6805-B214,20.0,,N,64.0,KFHQ
K6805-B215,0.0,,N,,KFHQ
K6805-B228,0.0,,N,,KFHQ
K6805-B229,0.0,,N,,KFHQ
K7746-F2378,0.0,04/29/2022,N,36.0,KFHQ
K7746-F2381,0.0,04/29/2022,N,21.0,KFHQ
K7746-F2383,10.0,,N,42.0,KFHQ
K8000-A750,10.0,,N,57.0,KFHQ
K8000-F2114,20.0,,N,90.0,KFHQ
K8000-F2231,35.0,,N,117.0,KFHQ
K8000-F2262,10.0,,N,42.0,KFHQ
K8000-F2398,10.0,,N,60.0,KFHQ
K8000-F2399,20.0,,N,74.0,KFHQ
K8506-F2114,10.0,,N,56.0,KFHQ
K8506-F2231,0.0,04/29/2022,N,32.0,KFHQ
K8506-F2399,0.0,04/29/2022,N,16.0,KFHQ
K8532-B306,0.0,04/29/2022,N,1.0,KFHQ
K8536-B302,20.0,,N,65.0,KFHQ
K8536-B303,71.0,,N,239.0,KFHQ
N6337-F1337,20.0,,N,89.0,KFHQ
K6805-E830,0.0,,N,,KFHQ
K6805-E856,0.0,04/29/2022,N,5.0,KFHQ
K6805-F1547,20.0,,N,70.0,KFHQ
K6805-F1565,10.0,,N,46.0,KFHQ
K6805-F1569,34.0,,N,115.0,KFHQ
K6805-F1570,111.0,,N,371.0,KFHQ
K6805-F2004,40.0,,N,136.0,KFHQ
K6805-F2039,34.0,,N,114.0,KFHQ
K1401.24-YDQY-2,44.0,,N,147.0,KFHQ
K1401.29-F772,0.0,,N,,KFHQ
K1401-24-E073,33.0,,N,110.0,KFHQ
K1401-24-E074,0.0,,N,,KFHQ
K1401-29-E073,34.0,,N,114.0,KFHQ
K1401-29-E074,10.0,,N,41.0,KFHQ
K4004.24,0.0,,N,,KFHQ
K4004.24-F2111,0.0,,N,,KFHQ
K6805-F2051,91.0,,N,305.0,KFHQ
